Topic,Paper Title,Authors,Year,Publisher/Journal,Link/DOI
AGAPC (Adaptive Genetic Algorithm for Path Construction),Dynamic Mobile Sink Path Planning for Unsynchronized Data Collection in Heterogeneous Wireless Sensor Networks,Zhou et al.,2023,IEEE Sensors Journal,https://www.researchgate.net/publication/372378812_Dynamic_Mobile_Sink_Path_Planning_for_Unsynchronized_Data_Collection_in_Heterogeneous_Wireless_Sensor_Networks
AGAPC (Adaptive Genetic Algorithm for Path Construction),Energy-Aware and Trust-Based Secure Routing Protocol for Wireless Sensor Networks Using Adaptive Genetic Algorithm (TAGA),Zhang et al.,2022,IEEE Access,https://www.researchgate.net/publication/357921587_Energy-Aware_and_Trust-Based_Secure_Routing_Protocol_for_Wireless_Sensor_Networks_Using_Adaptive_Genetic_Algorithm/fulltext/637f3bdc37878b3e87d8db5f/Energy-Aware-and-Trust-Based-Secure-Routing-Protocol-for-Wireless-Sensor-Networks-Using-Adaptive-Genetic-Algorithm.pdf?origin=scientificContributions
AGAPC (Adaptive Genetic Algorithm for Path Construction),Sink Mobility Model for Wireless Sensor Networks Using Genetic Algorithms,Al-Madi et al.,2022,International Journal of Distributed Sensor Networks,https://www.researchgate.net/publication/348931127_Sink_Mobility_Model_for_Wireless_Sensor_Networks_Using_Genetic_Algorithms
AGAPC (Adaptive Genetic Algorithm for Path Construction),An Efficient Cluster Head Election Based on Optimized Genetic Algorithm for Movable Sinks in IoT Enabled HWSNs,Nandan et al.,2022,Wireless Personal Communications,https://www.sciencedirect.com/science/article/abs/pii/S1568494621002416
AGAPC (Adaptive Genetic Algorithm for Path Construction),ExAq-MSPP: An Energy-Efficient Mobile Sink Path Planning Using Extended Aquila Optimization Algorithm,Sangeetha et al.,2024,Int. J. Comput. Intell. Syst.,https://link.springer.com/article/10.1007/s44196-024-00670-x
EGATS-N (Elite Genetic Algorithm + Tabu Search),UAV Swarms for Joint Data Ferrying and Dynamic Cell Coverage via Optimal Transport Descent and Quadratic Assignment,Liu et al.,2024,IEEE Transactions on Mobile Computing,https://arxiv.org/abs/2307.02988
EGATS-N (Elite Genetic Algorithm + Tabu Search),An Effective Hybrid Genetic Algorithm and Tabu Search for Maximizing Network Lifetime Using Coverage Sets Scheduling,Ajam et al.,2022,Wireless Personal Communications,https://www.researchgate.net/publication/363205905_An_effective_hybrid_genetic_algorithm_and_tabu_search_for_maximizing_network_lifetime_using_coverage_sets_scheduling_in_wireless_sensor_networks
EGATS-N (Elite Genetic Algorithm + Tabu Search),Hybrid TABU-GA Search for Energy Efficient Routing in WSN,Kumar et al.,2022,International Journal of Recent Technology and Engineering,https://www.researchgate.net/publication/337591277_Hybrid_TABU-GA_Search_for_Energy_Efficient_Routing_in_WSN
EGATS-N (Elite Genetic Algorithm + Tabu Search),A Hybrid Genetic Algorithm and Tabu Search for Construction Site Layout Planning (Network Optimization Variant),Tran et al.,2025,Journal of Telecommunication Electronic and Computer Engineering,https://share.google/2pMZSaPhYmSWDy08p
EGATS-N (Elite Genetic Algorithm + Tabu Search),A Hybrid Biased Random Key Genetic Algorithm for the Quadratic Assignment Problem (Applied to WSN Topology),Lalla-Ruiz et al.,2023,Information Sciences,https://www.researchgate.net/publication/298916258_A_Hybrid_Biased_Random_Key_Genetic_Algorithm_for_the_Quadratic_Assignment_Problem
RCGA-ABC (Real Coded GA + Artificial Bee Colony),Using Hybrid GA/PSO-Mobile Sink to Improve Energy Efficiency and Network Lifetime for LEACH Protocol in WSNs,Al-Shalabi et al.,2023,IEEE Conference Publication,https://www.researchgate.net/publication/375111533_Using_Hybrid_GAPSO-Mobile_Sink_to_Improve_Energy_Efficiency_and_Network_Lifetime_for_LEACH_Protocol_in_WSNs
RCGA-ABC (Real Coded GA + Artificial Bee Colony),Fuzzy Dove Swarm Optimisation Based Mobile Sink Clustering Routing Protocol for Wireless Sensor Network,Jayachandran & Govindaraju,2025,Int. J. Mobile Network Design and Innovation,https://www.inderscienceonline.com/doi/abs/10.1504/IJMNDI.2025.146745
RCGA-ABC (Real Coded GA + Artificial Bee Colony),Mobile Sink Path Planning in Heterogeneous IoT Sensors: A Salp Swarm Algorithm Scheme (Swarm/Evo Hybrid),Hajjej et al.,2022,KSII Transactions on Internet and Information Systems,https://www.researchgate.net/publication/353044446_Mobile_Sink_Path_Planning_in_Heterogeneous_IoT_Sensors_a_Salp_Swarm_Algorithm_Scheme
RCGA-ABC (Real Coded GA + Artificial Bee Colony),GARWOA: A WSN Coverage Optimization Method Combining Genetic Algorithm and Reinforced Whale Optimization,Mahnaz et al.,2024,Mathematical Biosciences and Engineering,https://www.aimspress.com/aimspress-data/mbe/2024/2/PDF/mbe-21-02-124.pdf
RCGA-ABC (Real Coded GA + Artificial Bee Colony),Optimization of WSN using Genetic Algorithm (Focus on Real Coding and Swarm Hybrids),Alnajjar,2023,Journal of Robotics and Control,https://www.researchgate.net/publication/366877936_Wireless_Sensor_Network_Optimization_Using_Genetic_Algorithm
